,p_id,score,num_comments,p_timestamp,direct_reply_comments,direct_comments_proportion,median_direct_reply_time,min_reply_time,P_Sent_Neg,P_Sent_Neu,P_Sent_Pos,P_Sent_Com,median_comment_length,C_Sent_Neg,C_Sent_Neu,C_Sent_Pos,C_Sent_Com,Diff_Sent_Neg,Diff_Sent_Neu,Diff_Sent_Pos,Diff_Sent_Com,C_Neg_Feelings,C_Suicide_Act,C_Goal,C_Medical,C_FPS,P_Neg_Feelings,P_Suicide_Act,P_Goal,P_Medical,P_FPS
10,dz9w45,584,73,2019-11-21 01:04:36,24.0,0.3287671232876712,639.4916666666667,29.916666666666668,0.21199999999999986,0.40099999999999986,0.38700000000000034,0.25980000000000003,22.0,0.139,0.595,0.203,0.0,-0.07299999999999984,0.19400000000000012,-0.18400000000000033,-0.25980000000000003,0.08571428571428572,0.029411764705882353,0.11764705882352941,0.04081632653061224,0.06,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.2857142857142857
11,dzpm7d,9,3,2019-11-21 22:43:50,3.0,1.0,66.91666666666667,64.28333333333333,0.21,0.523,0.267,0.2635,21.0,0.55,0.45,0.0,-0.7269,0.3400000000000001,-0.07300000000000001,-0.267,-0.9904,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.125,0.1527777777777778,0.1111111111111111,0.1111111111111111
12,dzm3n8,20,6,2019-11-21 18:51:14,4.0,0.6666666666666666,22.933333333333334,2.35,0.25,0.503,0.24699999999999997,-0.22279999999999997,20.0,0.1595,0.46099999999999997,0.3135,0.04504999999999998,-0.0905,-0.04200000000000004,0.06650000000000003,0.2678499999999999,0.07455065359477124,0.020833333333333332,0.046772875816993464,0.013888888888888888,0.020833333333333332,0.13333333333333333,0.09166666666666666,0.1,0.09583333333333334,0.1125
13,dzq192,8,5,2019-11-21 23:10:57,5.0,1.0,27.066666666666666,4.533333333333333,0.28,0.56,0.16,-0.44719999999999993,35.0,0.212,0.515,0.341,0.4767,-0.06800000000000003,-0.04500000000000004,0.18100000000000002,0.9238999999999999,0.10526315789473684,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
14,dzj8ga,26,4,2019-11-21 15:21:37,4.0,1.0,203.48333333333335,20.616666666666667,0.07,0.654,0.276,0.8466,123.0,0.224,0.5795,0.21,-0.022950000000000026,0.154,-0.07450000000000001,-0.06600000000000003,-0.86955,0.09506472491909385,0.05690399137001079,0.07982740021574973,0.04234088457389428,0.050885208452312966,0.2,0.15,0.15,0.15,0.15
15,dzmzgz,10,4,2019-11-21 19:51:12,2.0,0.5,101.90833333333333,8.333333333333334,0.0,1.0,0.0,0.0,4.5,0.146,0.125,0.4405,-0.07030000000000003,0.146,-0.875,0.4405,-0.07030000000000003,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,dzmt8a,12,19,2019-11-21 19:39:34,2.0,0.10526315789473684,182.75833333333333,78.6,0.45800000000000013,0.5090000000000001,0.033000000000000015,-0.9403000000000002,17.0,0.18,0.476,0.118,0.0,-0.27800000000000014,-0.03300000000000014,0.08499999999999998,0.9403000000000002,0.07692307692307693,0.0,0.125,0.038461538461538464,0.05555555555555555,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333
17,dzmvz5,10,4,2019-11-21 19:44:30,1.0,0.25,8.4,8.4,0.302,0.561,0.137,-0.963,44.0,0.398,0.416,0.187,-0.7983,0.09600000000000003,-0.14500000000000007,0.04999999999999999,0.16469999999999996,0.15625,0.125,0.13513513513513514,0.09375,0.125,0.15217391304347827,0.10869565217391304,0.11956521739130435,0.10869565217391304,0.10869565217391304
18,dzq73m,5,2,2019-11-21 23:22:01,2.0,1.0,94.54166666666666,87.46666666666667,0.0,1.0,0.0,0.0,32.0,0.1555,0.667,0.1765,0.1391,0.1555,-0.33299999999999996,0.1765,0.1391,0.07614942528735633,0.017241379310344827,0.13505747126436782,0.05890804597701149,0.017241379310344827,0.0,0.0,0.0,0.0,0.0
19,dzmofk,11,1,2019-11-21 19:30:30,1.0,1.0,308.21666666666664,308.21666666666664,0.224,0.545,0.231,0.4983,50.0,0.0,0.45,0.55,0.9485,-0.224,-0.09500000000000003,0.31900000000000006,0.4502,0.16,0.12,0.12,0.08,0.04,0.16551724137931034,0.1103448275862069,0.13793103448275862,0.1103448275862069,0.11724137931034483
20,dzqk1y,3,4,2019-11-21 23:45:20,2.0,0.5,41.99166666666667,29.716666666666665,0.318,0.381,0.301,-0.4019,15.0,0.0525,0.6865,0.261,0.43645,-0.2655,0.3055,-0.03999999999999998,0.8383499999999999,0.18907563025210083,0.058823529411764705,0.13025210084033612,0.058823529411764705,0.058823529411764705,0.07575757575757576,0.045454545454545456,0.07575757575757576,0.045454545454545456,0.045454545454545456
21,dzqihz,3,3,2019-11-21 23:42:27,1.0,0.3333333333333333,27.816666666666666,27.816666666666666,0.053,0.546,0.401,0.9632999999999999,23.0,0.142,0.625,0.233,0.0516,0.089,0.07899999999999996,-0.168,-0.9117,0.15384615384615385,0.09523809523809523,0.23076923076923078,0.14285714285714285,0.1,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.14814814814814814,0.14814814814814814
22,dzl17c,11,9,2019-11-21 17:40:24,3.0,0.3333333333333333,112.65,78.6,0.415,0.568,0.017,-0.9929,60.0,0.336,0.59,0.163,-0.6908,-0.07899999999999996,0.02200000000000002,0.14600000000000002,0.30210000000000004,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.0,0.0,0.10344827586206896,0.10344827586206896,0.06896551724137931,0.06896551724137931,0.04597701149425287
23,dzrn1l,3,0,2019-11-22 00:58:42,,0.0,,,0.231,0.665,0.104,-0.9235,1.0,0.0,1.0,0.0,0.0,-0.231,0.33499999999999996,-0.104,0.9235,0.0,0.0,0.0,0.0,0.0,0.0945945945945946,0.08108108108108109,0.0945945945945946,0.06756756756756757,0.08108108108108109
24,dzq7i8,4,2,2019-11-21 23:22:42,1.0,0.5,72.81666666666666,72.81666666666666,0.334,0.439,0.227,-0.9325,6.0,0.1695,0.22749999999999998,0.603,0.39135,-0.1645,-0.21150000000000002,0.376,1.32385,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.15492957746478872,0.15492957746478872,0.15492957746478872,0.15492957746478872,0.16901408450704225
